"species","vlength","gear","port","mval_mean","mprice_mean","mkg_mean"
"MUR","VL1824","OTB","IMPERIA",7787.56278275437,3.89466360532726,1502.68537460253
"MUR","VL1824","OTB","LIVORNO",3461.1390145575,1.73096160236767,667.860166490013
"MUR","VL1824","OTB","PORTO ERCOLE",6230.0502262035,3.11573088426181,1202.14829968202
"MUR","VL1824","OTB","PORTO SANTO STEFANO",8785.96826772288,4.39397945216409,1695.33734570542
"MUR","VL1824","OTB","PORTOFERRAIO",1730.56950727875,0.865480801183835,333.930083245007
"MUR","VL1824","OTB","SAVONA",10383.4170436725,5.19288480710301,2003.58049947004
"MUR","VL1824","OTB","VIAREGGIO",10383.4170436725,5.19288480710301,2003.58049947004
"MUR","VL2440","OTB","ANZIO",7.45499221938775,0.217015230022233,48.1985544217687
"MUR","VL2440","OTB","CIVITAVECCHIA",16.0569063186813,0.467417418509425,103.812271062271
"MUR","VL2440","OTB","LA SPEZIA",104.369891071429,3.03821322031126,674.779761904762
"MUR","VL2440","OTB","PORTO SANTO STEFANO",8.02845315934066,0.233708709254712,51.9061355311355
"MUR","VL2440","OTB","PORTOFERRAIO",86.9749092261905,2.53184435025938,562.316468253968
"MUT","VL1218","OTB","CHIAVARI",10355.2642401063,3.48247477677277,1852.71821463886
"MUT","VL1218","OTB","FIUMICINO",1078.67335834441,0.362757789247163,192.991480691548
"MUT","VL1218","OTB","GENOVA",17258.7737335105,5.80412462795461,3087.86369106477
"MUT","VL1218","OTB","IMPERIA",4314.69343337763,1.45103115698865,771.965922766193
"MUT","VL1218","OTB","LIVORNO",11505.8491556737,3.86941641863641,2058.57579404318
"MUT","VL1218","OTB","PIOMBINO",17258.7737335105,5.80412462795461,3087.86369106477
"MUT","VL1218","OTB","PORTO ERCOLE",6903.50949340422,2.32164985118184,1235.14547642591
"MUT","VL1218","OTB","PORTO SANTO STEFANO",1327.59797950081,0.446471125227278,237.527976235752
