"vessel_name","MMSI","quarter","name_vreg","Gear","vlength","Place.of.registration.name","port","lon_port","lat_port"
"GIORGIA","247066190",2,"GIORGIA","OTB","VL1218","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"GIUBILEO","247300170",4,"GIUBILEO","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"ISABELLA","247065440",1,"ISABELLA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"LIBERA","247096930",4,"LIBERA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"MIRELLA","247065730",2,"MIRELLA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"NETTUNO II","247065720",2,"NETTUNO II","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"ONDAMARINA","247041470",2,"ONDA MARINA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"OSCAR","247094340",2,"OSCAR","OTB","VL1824","Civitavecchia","CIVITAVECCHIA",11.7891685,42.0920560000001
"SABRINA E GIADA","247147420",2,"SABRINA  E GIADA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"STELLA MARIS","247152290",3,"STELLA MARIS","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"ARDITO","247044930",2,"ARDITO","OTB","VL1824","Santa Margherita Ligure","CHIAVARI",9.34481796800009,44.3062986360001
"ARINA MADRE","247045120",3,"ARINA MADRE","OTB","VL1218","Genova","GENOVA",8.91648942200015,44.4139497890001
"IRENE","247123990",3,"IRENE","OTB","VL1218","Santa Margherita Ligure","PORTOFINO",9.21051025400016,44.3024902340001
"JAZZ","247200190",4,"JAZZ","OTB","VL1218","Sestri Levante","CHIAVARI",9.34481796800009,44.3062986360001
"MONELLO","247044970",2,"MONELLO","OTB","VL1218","Santa Margherita Ligure","PORTOFINO",9.21051025400016,44.3024902340001
"N.VITTORIO-FILIPPO","247044920",1,"NUOVO VITTORIO FILIPPO","OTB","VL1218","Santa Margherita Ligure","PORTOFINO",9.21051025400016,44.3024902340001
"TERESA MADRE","247041670",2,"TERESA MADRE","OTB","VL1824","Santa Margherita Ligure","CHIAVARI",9.34481796800009,44.3062986360001
"NUOVO SPLENDORE II","247150210",3,"NUOVO SPLENDORE II","OTB","VL2440","Cagliari","LA SPEZIA",9.83272850000014,44.1067655000001
"ONDAMARINA","247041470",2,"ONDA MARINA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"M/P MINA","247048870",3,"MINA","OTB","VL1824","San Remo","IMPERIA",8.02525599999996,43.8760870000001
"F/V GRAZIA ROSA II","247048990",3,"GRAZIA ROSA II","OTB","VL1824","San Remo","IMPERIA",8.02525599999996,43.8760870000001
"F/V MARIA GRAZIA","247048880",2,"MARIA GRAZIA","OTB","VL1824","Cagliari","IMPERIA",8.02525599999996,43.8760870000001
"F/V PATRIZIA","247042850",2,"PATRIZIA","OTB","VL1218","San Remo","IMPERIA",8.02525599999996,43.8760870000001
"M/P MINA","247048870",3,"MINA","OTB","VL1824","San Remo","IMPERIA",8.02525599999996,43.8760870000001
"IMPERO ROMANO","247094320",4,"IMPERO ROMANO","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"MP NUOVA LUCIA","247892860",2,"NUOVA LUCIA","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"F/V MARIA GRAZIA","247048880",2,"MARIA GRAZIA","OTB","VL1824","Cagliari","IMPERIA",8.02525599999996,43.8760870000001
"M/P MINA","247048870",3,"MINA","OTB","VL1824","San Remo","IMPERIA",8.02525599999996,43.8760870000001
"BACICIN V","247049280",2,"BACICIN V","OTB","VL1824","Savona","SAVONA",8.49652823600007,44.314199735
"P.D`ERCOLE","247204460",1,"P. D'ERCOLE","OTB","VL1824","Savona","SAVONA",8.49652823600007,44.314199735
"ANNA M","247103220",2,"CORSARO","OTB","VL1218","Gaeta","CHIAVARI",9.34481796800009,44.3062986360001
"ARDITO","247044930",2,"ARDITO","OTB","VL1824","Santa Margherita Ligure","CHIAVARI",9.34481796800009,44.3062986360001
"ILCORSARO","247103220",2,"CORSARO","OTB","VL1218","Gaeta","CHIAVARI",9.34481796800009,44.3062986360001
"ILCORSARO","247103220",3,"CORSARO","OTB","VL1218","Gaeta","CHIAVARI",9.34481796800009,44.3062986360001
"JAZZ","247200190",4,"JAZZ","OTB","VL1218","Sestri Levante","CHIAVARI",9.34481796800009,44.3062986360001
"SGIUSEPPE","247045180",2,"SAN GIUSEPPE","OTB","VL1218","Sestri Levante","CHIAVARI",9.34481796800009,44.3062986360001
"TERESA MADRE","247041670",2,"TERESA MADRE","OTB","VL1824","Santa Margherita Ligure","CHIAVARI",9.34481796800009,44.3062986360001
"BACICIN V","247049280",2,"BACICIN V","OTB","VL1824","Savona","SAVONA",8.49652823600007,44.314199735
"P.D`ERCOLE","247204460",1,"P. D'ERCOLE","OTB","VL1824","Savona","SAVONA",8.49652823600007,44.314199735
"ANASTASIA","247066860",2,"ANASTASIA","OTB","VL1824","Livorno","LIVORNO",10.3030760000001,43.5636405
"CARMELA FIGLIA","247063630",1,"CARMELA FIGLIA","OTB","VL1824","Viareggio","VIAREGGIO",10.2412719730001,43.8621215820001
"MORLE II","247081680",2,"MORLE' II","OTB","VL1218","Livorno","LIVORNO",10.3030760000001,43.5636405
